spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc20,emotion,age,gender
1869.755715,2155.509626,4038.859578,-384.96713,86.88621,55.61403,29.426422,21.344627,0.4497105,-4.7594357,-3.9233308,-1.0301816,0.36489207,-5.050321,-2.0368986,-6.0365353,-4.647059,-2.332283,-6.9031286,-3.938747,-2.1076725,1,2,0
1299.763974,1881.532247,3101.862981,-392.89142,108.15478,39.859314,18.024717,5.8093367,6.2641277,4.3274813,-2.5608563,3.6420426,0.5168849,-4.6162944,-1.3073293,-3.4387562,-2.510403,-5.0300097,-4.710284,0.1568825,-2.1715832,3,6,1
1600.965763,1975.66756,3377.858232,-380.91107,90.39786,36.57329,25.264124,16.923141,-2.746345,-1.3136951,1.4576757,-3.0204208,-14.13296,0.17984664,-0.8683483,-2.7124026,-8.500666,-5.6923356,-8.841358,-6.62024,-2.247381,3,2,0
1335.671391,1820.212199,2798.4375,-347.96356,108.8145,44.778404,22.889923,6.03326,4.205008,-11.037961,-11.157705,-0.036857985,-1.8439289,-1.1392376,-5.230132,-7.1097403,-2.8976288,-0.9913389,-5.255057,-4.3003325,-5.07498,1,2,0
1351.56144,1829.76503,2995.16369,-356.93097,109.48621,31.297209,21.624788,12.020473,-2.4622495,-5.2703853,-3.536219,-0.7187923,3.0027077,1.0674449,-3.7961702,3.8662066,-2.8515992,-6.1114264,0.4925563,0.19449317,0.28971934,1,1,1
1278.442551,1895.868571,3059.702932,-398.52292,105.10603,44.242912,32.68597,13.5548935,-2.0622885,0.820846,0.14323325,-2.0530033,-0.9039662,0.10509408,-3.9146876,-4.9959397,-7.2678614,-6.9220014,-4.660529,-2.6788666,-1.2685719,1,7,0
1507.320302,1878.493127,3355.406746,-313.39294,101.53423,29.536253,17.18484,-1.5289173,-3.9527686,-2.2297132,-11.952593,-5.326598,2.925699,0.10692673,-8.253906,-3.0405066,-4.7680697,-0.5929277,-0.76396924,0.7135761,0.33480048,3,2,1
1266.597794,1840.981862,2927.277261,-378.57498,110.312584,37.66363,25.313585,16.555578,-0.17073867,-3.0041287,1.2440078,-2.3959692,-2.5885894,-5.9968653,-3.2610006,-1.6954029,-7.2741337,-6.8620157,-1.5725323,-2.596819,-0.4774053,4,6,0
1413.242414,1912.090514,3117.021277,-387.64648,107.1115,49.0166,23.557703,7.9323897,1.9500898,-3.913357,-3.912105,2.0433154,0.101493016,0.18001544,-1.3475432,0.865608,-2.0707092,-2.8044112,-2.3404348,-4.5147424,-2.6356351,1,1,0
1566.198005,1972.889197,3439.236111,-411.58276,99.87758,23.383747,18.844048,15.456017,2.7878168,2.0726078,0.03535242,-4.7813993,-7.656062,0.51737016,-4.4004455,-10.413189,-11.648795,-5.0991583,-6.962127,-4.7586546,-4.574341,4,5,1
1492.204496,1848.50685,3341.490964,-322.05463,88.67019,24.915583,33.58313,2.6989365,-8.1639805,-7.480295,-9.657089,0.86832094,-4.9686427,-2.8349843,-3.2509074,-7.157894,-2.3360457,-4.188663,-9.333029,-0.9116106,1.7323452,3,7,0
1418.375202,1751.132773,2827.670785,-362.6492,113.278755,41.94602,17.88458,2.9833481,3.7562253,-2.5492663,-8.261528,-0.7052239,1.094757,-5.2350163,-0.35326174,-0.08622658,-3.9146004,-0.57164127,-1.2388554,-3.396717,-3.5583665,6,7,0
1242.044522,1877.623239,3088.45339,-401.40622,97.25652,44.322453,40.79172,11.966713,5.527004,4.119596,-3.6240218,1.9041196,-4.683582,-6.918537,-3.5766869,-3.660854,-3.769591,-5.9010534,-4.3088055,-6.651923,-1.678241,2,6,1
1386.387691,1852.559688,3260.760613,-361.56372,104.14823,26.73749,20.646692,5.577961,-1.2307122,-3.339271,0.036416084,0.2481471,0.6446232,-1.7064176,2.0100753,-4.3148327,-4.872276,-2.92954,-7.549352,-0.89609814,-6.088873,3,4,0
2052.815624,1971.927356,4248.325893,-265.62238,67.41164,4.756386,18.934055,3.9374979,-3.1895218,-4.608335,0.62960774,-5.3209205,-3.6148112,-3.2052295,-2.2268271,-7.26434,-5.77572,-7.219926,-5.605846,3.2274017,8.294801,2,6,1
